id,age,wp,SPA,y,a
10,65,0,60,0,253.8128654259
10,66,0,60,0,302.7612825083
10,67,0,60,0,303.5437169027
10,68,0,60,0,303.5562240184
10,69,0,60,0,303.5564239419
10,70,0,60,0,303.5564271408
10,71,0,60,0,303.5564271879
10,72,0,60,0,303.5564271891
10,73,0,60,0,303.5564271865
10,74,0,60,0,303.5564271893
10,75,0,60,0,303.5564271876
11,52,0,60,0,5792.8624927921
11,53,1,60,19089.2849775391,1937.0975076323
11,54,1,60,20124.2851325291,2498.187682116
11,55,1,60,18280.4218857668,4046.9351462177
11,56,0,60,0,5995.7939250856
11,57,1,60,20623.2704224708,546.8631284738
11,58,1,60,21955.567323103,1509.7929588729
11,59,1,60,19464.7210194945,1879.3104826776
11,60,0,60,0,1484.2173967866
11,61,0,60,0,575.4193272576
11,62,0,60,0,258.9537032929
11,63,0,60,0,253.8950394242
11,64,0,60,0,253.8141773061
11,65,0,60,0,253.8128847349
11,66,0,60,0,296.9049340143
11,67,0,60,0,297.5937550922
11,68,0,60,0,297.6047658104
11,69,0,60,0,297.6049418124
11,70,0,60,0,297.6049446305
11,71,0,60,0,297.6049446727
11,72,0,60,0,297.6049446708
11,73,0,60,0,297.6049446793
11,74,0,60,0,297.6049446733
11,75,0,60,0,297.6049446707
12,52,1,60,28259.3676346637,10731.8183053146
12,53,1,60,28537.5608063594,11307.2638208236
12,54,1,60,26900.5417231049,11699.9752060123
12,55,1,60,30725.8075851371,11244.3359221656
12,56,1,60,33733.8055075022,11448.1582206749
12,57,1,60,32654.9675227296,11855.1509564992
12,58,1,60,38735.4582917664,11897.2675010793
12,59,1,60,39896.8063470677,12734.1413394466
12,60,1,60,48609.3713309225,13419.0099967928
12,61,1,60,45466.907868252,19094.3472636219
12,62,1,60,44441.2051432162,22847.4365353301
12,63,1,60,43366.4243855825,25950.5700091755
12,64,1,60,47104.6514651852,28583.7395162414
12,65,1,60,43368.0399730191,31174.4523337081
12,66,0,60,0,36905.8782412107
12,67,0,60,0,29156.3612964222
12,68,0,60,0,23307.9443019634
12,69,0,60,0,16836.2116476533
12,70,0,60,0,11147.9957373399
12,71,0,60,0,7350.7380140744
12,72,0,60,0,4191.6163261291
12,73,0,60,0,2052.3622633009
12,74,1,60,39197.204611455,345.9197992565
12,75,1,60,37933.664801859,7236.9350666942
13,52,1,60,23518.7157497822,1902.6558254465
13,53,1,60,21686.1246657197,3229.1633789852
13,54,1,60,21741.1177492497,3352.3798969559
13,55,1,60,21873.3015371819,3411.4413680087
13,56,1,60,23626.9641667868,3471.9186666374
13,57,1,60,22633.0644194582,4223.0060479301
13,58,0,60,0,4709.4847110919
13,59,1,60,19651.1012672076,235.7223307165
13,60,0,60,0,568.3766330559
13,61,0,60,0,290.9949582606
13,62,0,60,0,254.4072149272
13,63,0,60,0,253.8223643723
13,64,0,60,0,253.8130156087
13,65,0,60,0,253.8128661652
13,66,0,60,0,316.7288263664
13,67,0,60,0,317.7345302157
13,68,0,60,0,317.7506062627
13,69,0,60,0,317.75086324
13,70,0,60,0,317.7508673417
13,71,0,60,0,317.7508674093
13,72,0,60,0,317.7508674079
13,73,0,60,0,317.7508674109
13,74,0,60,0,317.7508674095
13,75,0,60,0,317.7508674113
14,52,1,60,22167.9817251917,3298.9532703832
14,53,1,60,22266.3862456158,3203.0445115983
14,54,1,60,22853.0294915556,3075.9256419699
14,55,1,60,23011.7119370618,3431.9333277905
